INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475610550,47.7325747,10.3481156,47.73257133,10.34810617,0.797659,9132,0.7518,47.73257492,10.34811468,1
475610600,47.7325633,10.3481259,47.73255594,10.34812015,0.7914,9133,0.7497,47.73255952,10.34812863,1
475610650,47.7325519,10.3481362,47.73254825,10.34812714,0.790529,9134,0.7329,47.73255175,10.34813543,1
475610700,47.7325405,10.3481465,47.73253286,10.34814112,0.787184,9135,0.7434,47.73253641,10.34814953,1
475610750,47.7325291,10.3481568,47.73252517,10.34814811,0.783327,9136,0.7497,47.73252875,10.34815659,1
475610800,47.7325176,10.3481671,47.73250978,10.34816208,0.774608,9137,0.7413,47.73251332,10.34817047,1
475610850,47.7325062,10.3481774,47.73250208,10.34816907,0.770845,9138,0.7203,47.73250552,10.34817722,1
475610900,47.7324948,10.3481877,47.73248669,10.34818305,0.770572,9139,0.7455,47.73249025,10.34819148,1
475610950,47.7324834,10.348198,47.732479,10.34819004,0.763373,9140,0.7476,47.73248257,10.3481985,1
475611000,47.732472,10.3482083,47.73246361,10.34820402,0.765105,9141,0.7518,47.7324672,10.34821253,1
475611050,47.7324606,10.3482186,47.73245591,10.34821101,0.756788,9142,0.7119,47.73245931,10.34821906,1
475611100,47.7324491,10.3482289,47.73244052,10.34822498,0.751817,9143,0.7413,47.73244406,10.34823337,4
475611150,47.7324377,10.3482392,47.73243283,10.34823197,0.745614,9144,0.7392,47.73243636,10.34824033,4
475611200,47.7324263,10.3482495,47.73241744,10.34824595,0.744732,9145,0.7119,47.73242084,10.348254,4
475611250,47.7324149,10.3482598,47.73240975,10.34825294,0.735056,9146,0.7266,47.73241322,10.34826116,4
475611300,47.7324034,10.3482701,47.73239436,10.34826692,0.728897,9147,0.7014,47.73239771,10.34827486,4
475611350,47.732392,10.3482804,47.73238666,10.34827391,0.724781,9148,0.714,47.73239007,10.34828199,4
475611400,47.7323806,10.3482907,47.73237127,10.34828788,0.720473,9149,0.6867,47.73237455,10.34829565,4
475611450,47.7323692,10.3483011,47.73236358,10.34829487,0.722238,9150,0.7098,47.73236697,10.3483029,4
475611500,47.7323577,10.3483114,47.73235588,10.34830186,0.714245,9151,0.7182,47.73235931,10.34830999,4
475611550,47.7323463,10.3483217,47.73234049,10.34831584,0.71255,9152,0.7056,47.73234386,10.34832382,4
475611600,47.7323349,10.348332,47.7323328,10.34832283,0.707145,9153,0.7119,47.7323362,10.34833088,4
475611650,47.7323234,10.3483424,47.73231741,10.3483368,0.706439,9154,0.714,47.73232082,10.34834488,4
475611700,47.732312,10.3483527,47.73230971,10.34834379,0.701409,9155,0.7119,47.73231311,10.34835184,4
475611750,47.7323006,10.348363,47.73229432,10.34835777,0.699178,9156,0.7056,47.73229769,10.34836575,4
475611800,47.7322891,10.3483733,47.73228663,10.34836476,0.689523,9157,0.7035,47.73228999,10.34837272,4
475611850,47.7322777,10.3483837,47.73227124,10.34837874,0.692036,9158,0.6993,47.73227458,10.34838665,4
475611900,47.7322663,10.348394,47.73226354,10.34838572,0.689414,9159,0.6951,47.73226686,10.34839358,4
475611950,47.7322548,10.3484043,47.73224815,10.3483997,0.682957,9160,0.6909,47.73225145,10.34840752,4
475612000,47.7322434,10.3484146,47.73224046,10.34840669,0.675758,9161,0.6846,47.73224373,10.34841444,4
475612050,47.7322319,10.348425,47.73222507,10.34842067,0.675219,9162,0.6825,47.73222833,10.34842839,4
475612100,47.7322205,10.3484353,47.73221737,10.34842766,0.669708,9163,0.6783,47.73222061,10.34843533,4
475612150,47.7322091,10.3484456,47.73220198,10.34844163,0.665137,9164,0.6741,47.7322052,10.34844926,4
475612200,47.7321976,10.348456,47.73219429,10.34844862,0.663549,9165,0.6762,47.73219752,10.34845627,4
475612250,47.7321862,10.3484663,47.7321789,10.3484626,0.655747,9166,0.6552,47.73218203,10.34847001,4
