INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475609400, 47.73283620, 10.34787830, 47.73283292, 10.34786852, 0.815284, 9109, 0.789600, 47.73283669, 10.34787745, 1
475609450, 47.73282490, 10.34788870, 47.73281754, 10.34788250, 0.821699, 9110, 0.783300, 47.73282128, 10.34789136, 1
475609500, 47.73281350, 10.34789900, 47.73280984, 10.34788949, 0.819849, 9111, 0.787500, 47.73281360, 10.34789840, 1
475609550, 47.73280220, 10.34790930, 47.73279446, 10.34790347, 0.817062, 9112, 0.777000, 47.73279817, 10.34791226, 1
475609600, 47.73279080, 10.34791970, 47.73278676, 10.34791046, 0.824823, 9113, 0.779100, 47.73279048, 10.34791927, 1
475609650, 47.73277950, 10.34793000, 47.73277138, 10.34792444, 0.822861, 9114, 0.781200, 47.73277511, 10.34793328, 1
475609700, 47.73276810, 10.34794030, 47.73276368, 10.34793143, 0.822968, 9115, 0.785400, 47.73276743, 10.34794032, 1
475609750, 47.73275670, 10.34795060, 47.73274830, 10.34794541, 0.816962, 9116, 0.777000, 47.73275201, 10.34795420, 1
475609800, 47.73274540, 10.34796090, 47.73274060, 10.34795240, 0.822265, 9117, 0.774900, 47.73274430, 10.34796117, 1
475609850, 47.73273400, 10.34797120, 47.73272522, 10.34796638, 0.818651, 9118, 0.772800, 47.73272891, 10.34797512, 1
475609900, 47.73272260, 10.34798160, 47.73271752, 10.34797337, 0.820198, 9119, 0.772800, 47.73272121, 10.34798211, 1
475609950, 47.73271130, 10.34799190, 47.73270213, 10.34798735, 0.821927, 9120, 0.768600, 47.73270580, 10.34799605, 1
475610000, 47.73269990, 10.34800220, 47.73269444, 10.34799434, 0.819880, 9121, 0.762300, 47.73269808, 10.34800296, 1
475610050, 47.73268850, 10.34801250, 47.73267905, 10.34800832, 0.813137, 9122, 0.770700, 47.73268273, 10.34801704, 1
475610100, 47.73267710, 10.34802280, 47.73267136, 10.34801531, 0.811833, 9123, 0.764400, 47.73267501, 10.34802396, 1
475610150, 47.73266580, 10.34803310, 47.73265597, 10.34802929, 0.810909, 9124, 0.764400, 47.73265962, 10.34803794, 1
475610200, 47.73265440, 10.34804340, 47.73264828, 10.34803628, 0.811502, 9125, 0.764400, 47.73265193, 10.34804493, 1
475610250, 47.73264300, 10.34805380, 47.73263289, 10.34805026, 0.814973, 9126, 0.766500, 47.73263655, 10.34805893, 1
475610300, 47.73263160, 10.34806410, 47.73262519, 10.34805725, 0.807374, 9127, 0.768600, 47.73262886, 10.34806595, 1
475610350, 47.73262020, 10.34807440, 47.73261750, 10.34806424, 0.805896, 9128, 0.266700, 47.73261877, 10.34806726, 1
475610400, 47.73260880, 10.34808470, 47.73260211, 10.34807821, 0.804251, 9129, 0.735000, 47.73260562, 10.34808653, 1
475610450, 47.73259750, 10.34809500, 47.73259442, 10.34808520, 0.804099, 9130, 0.625800, 47.73259741, 10.34809228, 1
475610500, 47.73258610, 10.34810530, 47.73257903, 10.34809918, 0.802271, 9131, 0.768600, 47.73258270, 10.34810788, 1
475610550, 47.73257470, 10.34811560, 47.73257133, 10.34810617, 0.797659, 9132, 0.751800, 47.73257492, 10.34811468, 1
475610600, 47.73256330, 10.34812590, 47.73255594, 10.34812015, 0.791400, 9133, 0.749700, 47.73255952, 10.34812863, 1
475610650, 47.73255190, 10.34813620, 47.73254825, 10.34812714, 0.790529, 9134, 0.732900, 47.73255175, 10.34813543, 1
475610700, 47.73254050, 10.34814650, 47.73253286, 10.34814112, 0.787184, 9135, 0.743400, 47.73253641, 10.34814953, 1
475610750, 47.73252910, 10.34815680, 47.73252517, 10.34814811, 0.783327, 9136, 0.749700, 47.73252875, 10.34815659, 1
475610800, 47.73251760, 10.34816710, 47.73250978, 10.34816208, 0.774608, 9137, 0.741300, 47.73251332, 10.34817047, 1
475610850, 47.73250620, 10.34817740, 47.73250208, 10.34816907, 0.770845, 9138, 0.720300, 47.73250552, 10.34817722, 1
475610900, 47.73249480, 10.34818770, 47.73248669, 10.34818305, 0.770572, 9139, 0.745500, 47.73249025, 10.34819148, 1
475610950, 47.73248340, 10.34819800, 47.73247900, 10.34819004, 0.763373, 9140, 0.747600, 47.73248257, 10.34819850, 1
475611000, 47.73247200, 10.34820830, 47.73246361, 10.34820402, 0.765105, 9141, 0.751800, 47.73246720, 10.34821253, 1
475611050, 47.73246060, 10.34821860, 47.73245591, 10.34821101, 0.756788, 9142, 0.711900, 47.73245931, 10.34821906, 1
475611100, 47.73244910, 10.34822890, 47.73244052, 10.34822498, 0.751817, 9143, 0.741300, 47.73244406, 10.34823337, 4
